q,0
w,400
b,500
v,500
v,900
b,500
c,500
c,500
x,500
c,500
v,500
n,900
n,500
m,500
m,500
m,500
z,500
z,500
z,900
x,500
v,500
b,500
v,900
z,500
x,500
x,500
a,500
s,500
w,500
q,900
w,500
e,500
x,500
c,500
q,500
q,500
x,900
x,500
d,500
d,500
s,900
s,500
s,500
q,500
a,500
r,500
r,500
o,900
p,500
p,500
x,500
c,500
c,500
p,500
r,900
i,500
n,500
t,500
h,900
e,500
l,500
l,500
o,500
w,500
o,500
r,900
l,500
d,500
p,500
r,500
i,500
n,500
t,900
h,500
e,500
l,500
l,900
o,500
t,500
e,500
c,500
h,500
w,500
i,900
s,500
e,500
a,500
a,500
a,500
a,500
a,900
b,500
b,500
b,500
b,900
a,500
a,500
a,500
b,500
b,500
b,500
a,900
a,500
a,500
c,500
c,500
c,500
a,500
